2 1000 2000
1000 6696 1767 1095
1000 9167 6841 1075
1000 4503 8825 1074
1000 1719 2071 1059
1000 2869 6558 1053
1000 9951 2549 1040
1000 6190 6717 1015
1000 8502 9732 1015
1000 5063 4267 1007
1000 1504 9876 1007
2000 3 5141 274
2000 1189 2659 270
2000 5449 6806 267
2000 6195 1104 263
2000 2302 6003 261
2000 2199 9596 260
2000 4695 3601 248
2000 4795 9599 247
2000 9697 6195 242
2000 3202 7297 241
2000 4296 4195 241
2000 6702 7299 241
2000 2003 1298 240
2000 4097 8102 240
2000 7804 9397 238
2000 6898 2603 237
2000 4196 9600 237
2000 8395 6504 236
2000 2496 1795 234
2000 3703 8598 234
2000 1704 2898 233
2000 5299 9102 232
2000 896 2101 230
2000 5803 7399 228
2000 5696 6099 227
2000 3803 9297 227
2000 2503 7303 223
2000 4503 4799 223
2000 5202 3498 222
2000 5301 8597 222
2000 5702 3802 220
2000 5799 4498 220
2000 1400 1301 219
2000 5300 5002 218
2000 2498 2304 218
2000 4698 8004 217
2000 2104 6801 217
2000 896 9396 215
2000 6199 2495 214
2000 7398 2297 212
2000 5903 2095 212
2000 8802 7602 212
2000 9196 2197 212
2000 6798 899 211
2000 9601 1801 211
2000 9899 7297 211
2000 9601 3301 210
2000 2295 2704 207
2000 6996 6700 207
2000 5097 8203 205
2000 6704 6100 203
2000 6304 7501 201
2000 6200 5898 200
2000 7304 1101 200
2000 1004 1596 199
2000 5899 1503 199
2000 3602 6895 199
2000 3699 6395 198
2000 3395 5895 198
2000 2896 5700 197
2000 7498 1501 197
2000 9197 5997 196
2000 8298 7003 194
2000 9300 7701 193
2000 8697 6096 193
2000 9197 2903 190
2000 1701 9101 190
2000 702 9897 190
2000 4098 97 188
2000 8799 8995 187
2000 7599 1897 186
2000 9199 9403 182
2000 8097 9001 179
2000 7696 9902 179
2000 9296 9798 177
2000 2004 6400 173
2000 700 5403 172
2000 1200 5799 171
2000 403 4802 170
2000 1102 6198 167
2000 4903 5099 165
2000 102 4295 161
2000 96 5602 156
2000 101 6097 154
2000 101 6503 153
2000 98 6895 153
2000 95 7299 150
2000 702 4598 149
2000 6501 2702 132
2000 3603 8998 115
