2 1000 2000
1000 2628 5100 1095
1000 6627 2250 1075
1000 5134 8280 1074
1000 9527 7389 1059
1000 2884 2029 1053
1000 2198 8946 1040
1000 100 430 1015
1000 8867 663 1015
1000 8063 9564 1007
1000 7120 5632 1007
2000 5859 2475 274
2000 2129 1835 270
2000 9809 3949 267
2000 7784 5965 263
2000 5884 7961 261
2000 3236 4525 260
2000 7695 8895 248
2000 9496 1103 247
2000 1400 8895 242
2000 4297 8302 241
2000 6896 4904 241
2000 1802 5304 241
2000 7004 3001 240
2000 5902 8596 240
2000 196 1202 238
2000 7197 6402 237
2000 6595 6204 237
2000 9299 6597 236
2000 8800 6996 234
2000 5301 9100 234
2000 2602 2798 233
2000 8101 503 232
2000 4704 9002 230
2000 7402 2602 228
2000 7404 1898 227
2000 6003 1702 227
2000 7401 4898 223
2000 8701 7503 223
2000 9799 6598 222
2000 3202 2795 222
2000 3501 5195 220
2000 2004 4501 220
2000 2095 5799 219
2000 6503 3104 218
2000 2500 9695 218
2000 1699 8299 217
2000 3295 1301 217
2000 6395 5301 215
2000 4504 7702 214
2000 5503 7504 212
2000 6504 1401 212
2000 2804 1199 212
2000 2196 2500 212
2000 8199 1098 211
2000 1600 9497 211
2000 3004 8798 211
2000 7902 5498 210
2000 3696 1799 207
2000 2897 9401 207
2000 899 297 205
2000 2999 5895 203
2000 7301 9799 201
2000 7301 9301 200
2000 9800 8196 200
2000 3601 2498 199
2000 8799 9898 199
2000 8297 8802 199
2000 9299 8201 198
2000 2597 6002 198
2000 2601 4197 197
2000 2196 8102 197
2000 5101 7400 196
2000 8595 1401 194
2000 8798 9300 193
2000 2595 8199 193
2000 7104 1499 190
2000 8302 103 190
2000 6101 2898 190
2000 9097 1395 188
2000 9603 401 187
2000 6297 5704 186
2000 3395 5601 182
2000 2402 1301 179
2000 2003 9695 179
2000 8900 7899 177
2000 701 1002 173
2000 9195 4303 172
2000 8597 4495 171
2000 8798 4795 170
2000 9403 3403 167
2000 8896 5397 165
2000 9897 4404 161
2000 8999 3403 156
2000 9899 4797 154
2000 9800 3397 153
2000 9901 5395 153
2000 1700 4902 150
2000 8197 4297 149
2000 4295 8701 132
2000 9103 3102 115
