2 1000 2000
1000 5202 6585 1093
1000 8372 4423 1090
1000 3868 1916 1087
1000 827 1035 1070
1000 8545 9131 1069
1000 4117 9730 1063
1000 1560 6950 1057
1000 554 9444 1055
1000 6366 292 1043
1000 914 3777 1022
2000 4555 1914 400
2000 104 5503 399
2000 96 9003 399
2000 201 795 394
2000 404 3400 388
2000 1498 7595 384
2000 2197 5098 384
2000 2401 4802 381
2000 2600 98 378
2000 3201 2000 378
2000 4399 2295 370
2000 2697 4601 368
2000 2195 6902 365
2000 1302 1500 350
2000 999 3096 348
2000 897 6800 347
2000 501 4297 343
2000 1297 3199 335
2000 3599 1196 332
2000 4195 2595 329
2000 2297 6904 326
2000 4100 2596 323
2000 2200 6597 322
2000 1103 8998 320
2000 202 3698 312
2000 1295 1599 308
2000 3800 2696 297
2000 4499 1500 297
2000 2298 7195 285
2000 501 4397 281
2000 3298 2495 281
2000 2004 6303 280
2000 695 3104 279
2000 1298 9199 272
2000 4399 1301 267
2000 4596 2300 264
2000 3595 2697 253
2000 3398 2597 252
2000 3202 2396 248
2000 3198 2400 247
2000 1597 797 247
2000 897 3003 245
2000 1195 304 245
2000 2296 6599 239
2000 4601 1501 239
2000 4198 2697 239
2000 1895 6198 237
2000 1904 6198 234
2000 796 204 234
2000 1297 9795 229
2000 2303 7303 229
2000 4498 2503 228
2000 2302 7303 227
2000 3498 2696 223
2000 3497 2699 223
2000 1403 4403 223
2000 1400 4404 223
2000 1595 4201 220
2000 1596 4197 219
2000 2101 6304 215
2000 4599 2400 212
2000 101 1503 210
2000 4499 1296 207
2000 1497 3200 201
2000 4297 2697 200
2000 1698 995 198
2000 1402 9298 196
2000 1702 999 195
2000 2300 7397 190
2000 3197 2495 190
2000 1995 6195 185
2000 1300 9898 183
2000 1804 6103 175
2000 1804 6096 173
2000 295 3197 168
2000 1495 4403 167
2000 1500 4397 161
2000 3100 2397 158
2000 1301 9003 154
2000 99 1602 150
2000 4199 2801 148
2000 1604 4304 148
2000 4004 1003 145
2000 4800 1800 143
2000 4101 999 142
2000 1604 1498 140
2000 1398 300 139
2000 1403 9798 138
2000 697 7296 129
2000 4797 1702 125
2000 97 3402 119
2000 2500 6898 118
2000 2997 2302 116
2000 1703 697 116
2000 201 8602 115
2000 4196 1004 114
2000 1804 3997 106
2000 1802 3995 106
2000 4704 1400 106
2000 2498 7096 104
