2 1000 2000
1000 4147 6475 1095
1000 1590 2945 1075
1000 9090 3237 1074
1000 7978 7792 1059
1000 208 8126 1053
1000 5496 1979 1040
1000 3263 154 1015
1000 7597 51 1015
1000 5053 9348 1007
1000 6580 4921 1007
2000 2350 3186 274
2000 6086 4372 270
2000 66 117 267
2000 4791 1647 263
2000 8290 3377 261
2000 7291 8204 260
2000 8025 680 248
2000 2894 826 247
2000 766 8717 242
2000 4446 9809 241
2000 6279 2091 241
2000 3302 6599 241
2000 4996 6397 240
2000 6001 2595 240
2000 5301 1201 238
2000 6900 396 237
2000 7302 5204 237
2000 2298 2504 236
2000 8403 8503 234
2000 3499 897 234
2000 4004 401 233
2000 2498 301 232
2000 4404 7295 230
2000 4803 2395 228
2000 3904 7298 227
2000 4901 6898 227
2000 1699 2103 223
2000 4701 5803 223
2000 5795 4998 222
2000 3502 5903 222
2000 1997 3702 220
2000 1496 3802 220
2000 4101 5595 219
2000 5498 2800 218
2000 7300 4598 218
2000 6901 4199 217
2000 196 7300 217
2000 5495 8701 215
2000 4295 9095 214
2000 4797 8601 212
2000 9295 2402 212
2000 5700 9798 212
2000 9498 4001 212
2000 803 2600 211
2000 8796 7998 211
2000 7003 5603 211
2000 7299 796 210
2000 9000 4103 207
2000 8303 2896 207
2000 6100 1403 205
2000 7700 8604 203
2000 801 3300 201
2000 8397 203 200
2000 8295 7000 200
2000 3503 7100 199
2000 5799 9104 199
2000 6403 5696 199
2000 9898 2900 198
2000 1003 7799 198
2000 7196 7497 197
2000 9803 3700 197
2000 7698 6999 196
2000 1195 2202 194
2000 8704 7397 193
2000 8704 2502 193
2000 6004 5504 190
2000 8501 3899 190
2000 998 8295 190
2000 6504 4095 188
2000 1103 3604 187
2000 696 7502 186
2000 195 8995 182
2000 5100 2702 179
2000 9899 3304 179
2000 800 202 177
2000 1397 100 173
2000 1597 700 172
2000 1498 1103 171
2000 904 1197 170
2000 404 1500 167
2000 100 1795 165
2000 398 501 161
2000 100 1299 156
2000 5698 1198 154
2000 496 1103 153
2000 9696 2601 153
2000 7396 7196 150
2000 95 3895 149
2000 5201 8496 132
2000 4603 2103 115
