2 1000 2000
1000 223 4701 1085
1000 9913 1864 1078
1000 6020 6014 1049
1000 2523 2641 1047
1000 9908 9028 1041
1000 6710 2928 1038
1000 3939 8100 1021
1000 5014 193 1020
1000 6293 8952 1012
1000 9296 5197 1010
2000 392 7850 397
2000 101 103 396
2000 96 2198 392
2000 97 9901 388
2000 996 5903 386
2000 1296 3797 362
2000 1899 901 361
2000 2000 8997 359
2000 2797 6498 359
2000 3099 5095 352
2000 4698 5595 348
2000 4703 7001 340
2000 3104 3896 330
2000 5402 7199 329
2000 6395 7300 322
2000 5203 7803 311
2000 5003 9096 308
2000 5701 4700 304
2000 4995 6896 303
2000 3699 9399 303
2000 7199 7997 302
2000 5299 9802 302
2000 5403 3197 300
2000 5999 1804 299
2000 6195 1701 294
2000 5102 1502 292
2000 1597 4703 292
2000 6698 1604 292
2000 7397 1797 291
2000 1495 5202 286
2000 3196 1498 284
2000 7503 8502 280
2000 7501 9402 280
2000 1495 1795 279
2000 5995 7696 279
2000 4201 1201 276
2000 7396 8301 274
2000 5104 9401 274
2000 5701 2104 270
2000 3802 595 265
2000 5798 2004 264
2000 4602 9199 263
2000 3599 1899 263
2000 5202 7898 262
2000 6995 7898 262
2000 6303 1701 260
2000 3496 9299 259
2000 8000 3004 256
2000 7701 2099 256
2000 2903 1395 254
2000 7101 1701 252
2000 3302 9201 251
2000 7497 8595 250
2000 7302 8201 249
2000 7795 3602 245
2000 1402 4101 241
2000 8204 4600 240
2000 7299 1797 237
2000 3802 504 234
2000 5498 8001 231
2000 5499 9896 225
2000 97 3399 225
2000 7498 8704 223
2000 5299 1399 221
2000 197 3403 217
2000 4496 9197 216
2000 5202 9495 212
2000 3903 697 206
2000 9498 3998 204
2000 7404 1897 201
2000 3797 298 198
2000 3803 95 198
2000 5500 1296 189
2000 3798 9299 188
2000 1299 2499 187
2000 4596 9100 182
2000 5897 1003 179
2000 5903 999 179
2000 602 3496 178
2000 1102 3801 173
2000 6204 100 167
2000 4404 1196 160
2000 1398 5095 157
2000 7799 3395 151
2000 1303 4101 150
2000 5095 8198 150
2000 6395 7800 147
2000 4102 896 136
2000 7296 9503 135
2000 2004 3702 135
2000 5302 8396 134
2000 3602 9200 131
2000 7004 1800 128
2000 9299 2899 126
2000 8499 6004 122
2000 8497 6003 122
2000 298 3502 120
2000 7801 3295 114
2000 5699 9903 103
2000 7202 9599 100
