2 1000 2000
1000 16337 16897 1095
1000 4411 2857 1095
1000 10568 8150 1095
1000 19063 15539 1095
1000 18221 11611 1075
1000 7206 1164 1075
1000 6869 14281 1075
1000 1987 7623 1075
1000 11765 12115 1074
1000 16237 13993 1074
1000 8672 11568 1074
1000 8492 4870 1074
1000 14637 5248 1059
1000 4207 14563 1059
1000 5317 11608 1059
1000 11685 5670 1059
1000 7906 8748 1053
1000 17348 6707 1053
1000 755 14649 1053
1000 797 11851 1053
1000 9919 2256 1040
1000 2183 527 1040
1000 3637 17990 1040
1000 19239 18873 1040
1000 6598 17455 1015
1000 711 19083 1015
1000 4991 6902 1015
1000 11139 14821 1015
1000 13433 8088 1015
1000 14104 19563 1015
1000 10689 19432 1015
1000 624 2900 1015
1000 5400 19854 1007
1000 14701 2246 1007
1000 12399 1149 1007
1000 17338 762 1007
1000 13832 14954 1007
1000 2647 5049 1007
1000 19431 3018 1007
1000 19289 9184 1007
2000 19505 16090 274
2000 11459 17143 274
2000 4871 14874 274
2000 4495 3530 274
2000 10145 2897 270
2000 18899 18200 270
2000 5133 10864 270
2000 11405 19452 270
2000 1224 14095 267
2000 394 3455 267
2000 16745 779 267
2000 499 19683 267
2000 14349 15397 263
2000 12319 6003 263
2000 8362 8132 263
2000 13983 7598 263
2000 17158 7448 261
2000 4265 6665 261
2000 2873 4436 261
2000 10152 7480 261
2000 16980 14298 260
2000 13235 14662 260
2000 9743 8010 260
2000 18000 927 260
2000 2020 6835 248
2000 7656 14560 248
2000 16207 16045 248
2000 19731 3714 248
2000 10854 7412 247
2000 14477 1509 247
2000 9734 1477 247
2000 13990 5620 247
2000 14460 14694 242
2000 13194 8761 242
2000 3893 15335 242
2000 8583 8615 242
2000 4193 17524 241
2000 3077 17450 241
2000 7207 17768 241
2000 3903 2203 241
2000 7376 387 241
2000 14008 4876 241
2000 3575 2728 241
2000 1275 11282 241
2000 6048 11750 241
2000 19980 19019 241
2000 8132 4111 241
2000 4984 19334 241
2000 7064 13521 240
2000 5573 12330 240
2000 9227 5259 240
2000 16990 163 240
2000 10066 8736 240
2000 8746 10783 240
2000 8131 12173 240
2000 6171 16802 240
2000 3000 5663 238
2000 2977 660 238
2000 7473 1905 238
2000 12004 4903 238
2000 13847 14206 237
2000 1408 19231 237
2000 3467 14809 237
2000 7785 5325 237
2000 11655 6407 237
2000 5531 19145 237
2000 8858 5574 237
2000 18608 9113 237
2000 11230 7725 236
2000 9219 4519 236
2000 2928 18080 236
2000 230 15187 236
2000 10671 2512 234
2000 4596 2065 234
2000 13132 15296 234
2000 2102 4593 234
2000 1131 3322 234
2000 17607 1473 234
2000 9288 1846 234
2000 5885 17326 234
2000 8711 4097 233
2000 13688 15712 233
2000 19012 16403 233
2000 54 12182 233
2000 17706 103 232
2000 18909 11952 232
2000 8520 9246 232
2000 5796 10961 232
2000 3387 5186 230
2000 17086 1417 230
2000 7878 9536 230
2000 4117 18521 230
2000 15475 2317 228
2000 16574 14734 228
2000 1154 15324 228
2000 543 13870 228
2000 16841 16275 227
2000 2429 5787 227
2000 6739 18185 227
2000 3682 17178 227
2000 39 18850 227
2000 11008 6143 227
2000 1581 14566 227
2000 15828 14724 227
2000 10657 9021 223
2000 6000 17860 223
2000 624 12590 223
2000 6050 19449 223
2000 4703 19746 223
2000 10717 2041 223
2000 4427 17991 223
2000 11303 4951 223
2000 1316 12466 222
2000 10880 5528 222
2000 6848 16697 222
2000 7946 861 222
2000 2000 5410 222
2000 3442 18761 222
2000 11417 8170 222
2000 8147 5642 222
2000 368 18428 220
2000 3334 4739 220
2000 3057 18538 220
2000 9460 2856 220
2000 27 14528 220
2000 6793 463 220
2000 5152 2438 220
2000 1603 11802 220
2000 3606 3200 219
2000 4003 3596 219
2000 5200 3206 219
2000 6405 1002 219
2000 7992 1400 218
2000 10390 1601 218
2000 16995 13604 218
2000 7600 8006 218
2000 7191 16996 218
2000 16392 13197 218
2000 7207 8392 218
2000 7391 9400 218
2000 4593 11209 217
2000 15604 16394 217
2000 17197 16808 217
2000 16995 17395 217
2000 18408 15995 217
2000 18193 15390 217
2000 18598 14804 217
2000 9194 2405 217
2000 12409 5397 215
2000 1006 19792 215
2000 998 18393 215
2000 4999 12399 215
2000 4606 12004 214
2000 795 11008 214
2000 404 11193 214
2000 2590 7000 214
2000 1407 7006 212
2000 1199 7590 212
2000 1403 8207 212
2000 2803 7594 212
2000 2595 8200 212
2000 2201 8408 212
2000 6807 1790 212
2000 11193 8609 212
2000 14397 6004 212
2000 14997 5995 212
2000 15406 5609 212
2000 15391 4993 212
2000 14993 4605 212
2000 14604 4400 212
2000 15402 14206 212
2000 1399 2791 212
2000 1009 2200 211
2000 403 2194 211
2000 19602 19605 211
2000 19593 18191 211
2000 19004 19609 211
2000 18597 19406 211
2000 14002 1991 211
2000 13999 2595 211
2000 13793 8804 211
2000 8809 12392 211
2000 9401 11996 211
2000 2595 1207 211
2000 4603 6202 210
2000 1391 404 210
2000 1596 1006 210
2000 3607 13990 210
2000 11191 18809 207
2000 4607 7599 207
2000 5404 7599 207
2000 6206 14799 207
2000 9997 19800 207
2000 10200 18798 207
