2 1000 2000
1000 6493 3521 1093
1000 4279 16556 1093
1000 15544 4189 1093
1000 3887 5597 1093
1000 13597 12685 1090
1000 481 9226 1090
1000 9075 3020 1090
1000 2575 13868 1090
1000 17845 1938 1087
1000 186 15535 1087
1000 7122 16981 1087
1000 7334 389 1087
1000 4731 11711 1070
1000 13184 6210 1070
1000 7496 12296 1070
1000 10664 7239 1070
1000 6405 7244 1069
1000 10833 10868 1069
1000 3902 19411 1069
1000 9118 18525 1069
1000 3873 8288 1063
1000 11699 3529 1063
1000 13645 998 1063
1000 10745 429 1063
1000 8539 8906 1057
1000 772 19147 1057
1000 13711 10017 1057
1000 10095 15766 1057
1000 908 5270 1055
1000 18227 5253 1055
1000 766 1959 1055
1000 17344 7982 1055
1000 11803 18548 1043
1000 17558 10913 1043
1000 4178 799 1043
1000 19976 12280 1043
1000 14102 17484 1022
1000 16068 12865 1022
1000 19308 15189 1022
1000 18362 17803 1022
2000 11682 4178 400
2000 12173 18288 400
2000 3634 18898 400
2000 10286 10916 400
2000 13155 10002 399
2000 17011 10740 399
2000 6701 17349 399
2000 13155 6873 399
2000 15033 3717 399
2000 2066 14288 399
2000 13850 6358 399
2000 17041 8566 399
2000 6865 12396 394
2000 9732 16272 394
2000 8685 19042 394
2000 18161 18310 394
2000 6794 16443 388
2000 14085 12357 388
2000 3165 5666 388
2000 13878 6076 388
2000 18553 5757 384
2000 13095 5514 384
2000 15532 3533 384
2000 10845 991 384
2000 8158 8429 384
2000 11166 877 384
2000 14593 17084 384
2000 11447 11179 384
2000 9775 18660 381
2000 1140 18611 381
2000 3915 7601 381
2000 13244 5549 381
2000 5754 7458 378
2000 8585 8224 378
2000 14178 13100 378
2000 13929 18093 378
2000 10307 16409 378
2000 8197 8418 378
2000 8145 12215 378
2000 16902 10903 378
2000 9469 15584 370
2000 1409 19006 370
2000 7260 17646 370
2000 17645 4855 370
2000 8329 2996 368
2000 8836 17970 368
2000 8421 18657 368
2000 6655 529 368
2000 8420 18581 365
2000 7675 16591 365
2000 18143 10871 365
2000 11931 19232 365
2000 8501 18578 350
2000 12513 6091 350
2000 7666 17469 350
2000 13610 17917 350
2000 15775 3486 348
2000 3404 8812 348
2000 11079 10194 348
2000 14142 18114 348
2000 19087 15803 347
2000 6700 17570 347
2000 13492 17731 347
2000 1116 9547 347
2000 18971 17568 343
2000 18703 18387 343
2000 4261 7670 343
2000 3332 8770 343
2000 6942 7738 335
2000 314 1466 335
2000 6986 6810 335
2000 11229 18143 335
2000 12850 12601 332
2000 3365 6159 332
2000 16036 12203 332
2000 11881 19263 332
2000 13429 1660 329
2000 11395 19085 329
2000 11129 18292 329
2000 12005 2851 329
2000 17646 11605 326
2000 1437 2007 326
2000 3945 6356 326
2000 12493 6445 326
