2 1000 2000
1000 10514 1073 1085
1000 2680 17634 1085
1000 14443 13122 1085
1000 13390 5805 1085
1000 2104 9871 1078
1000 16929 8902 1078
1000 17250 4064 1078
1000 18451 17819 1078
1000 3275 906 1049
1000 9070 11283 1049
1000 6415 4968 1049
1000 1624 6991 1049
1000 11269 13990 1047
1000 11404 4085 1047
1000 16152 19573 1047
1000 16881 11767 1047
1000 574 12425 1041
1000 15466 2067 1041
1000 5373 7474 1041
1000 3214 14580 1041
1000 5792 10037 1038
1000 309 15739 1038
1000 19817 9068 1038
1000 632 816 1038
1000 5639 15326 1021
1000 9347 5859 1021
1000 7384 338 1021
1000 10290 8715 1021
1000 10964 16904 1020
1000 15804 15803 1020
1000 8897 19142 1020
1000 3443 4402 1020
1000 4292 12209 1012
1000 18880 14195 1012
1000 19535 2632 1012
1000 7765 2816 1012
1000 5267 19354 1010
1000 12174 10796 1010
1000 18770 6531 1010
1000 13502 19326 1010
2000 13611 14327 397
2000 8104 6488 397
2000 7658 19734 397
2000 94 2124 397
2000 2497 11295 396
2000 8919 9842 396
2000 99 17168 396
2000 5715 16741 396
2000 14573 18419 392
2000 11042 9828 392
2000 10184 15756 392
2000 4120 8182 392
2000 6888 1660 388
2000 12854 18086 388
2000 8974 3495 388
2000 10134 4582 388
2000 11200 2694 386
2000 17401 7524 386
2000 5372 5891 386
2000 15264 14310 386
2000 885 11092 362
2000 17948 7594 362
2000 2284 8233 362
2000 3955 2142 362
2000 9892 10017 361
2000 18125 5324 361
2000 18251 9415 361
2000 15868 13084 361
2000 17262 13118 359
2000 7645 18579 359
2000 17268 10237 359
2000 18678 15550 359
2000 5505 11595 359
2000 16973 10409 359
2000 5519 6090 359
2000 12287 19960 359
2000 14489 18391 352
2000 18349 8875 352
2000 368 7602 352
2000 7551 19408 352
2000 19799 7735 348
2000 7586 4109 348
2000 18759 8203 348
2000 18832 5184 348
2000 17532 18836 340
2000 18307 9018 340
2000 18318 8656 340
2000 10519 5229 340
2000 18674 9812 330
2000 10199 4672 330
2000 873 8143 330
2000 8033 1506 330
2000 18462 9207 329
2000 18201 5095 329
2000 16713 10421 329
2000 14719 19815 329
2000 19136 7940 322
2000 1414 17037 322
2000 1987 1342 322
2000 2041 8487 322
2000 4838 11032 311
2000 18232 2760 311
2000 491 14404 311
2000 5210 11262 311
2000 14898 19984 308
2000 1777 8337 308
2000 18482 9222 308
2000 2075 8260 308
2000 18294 2963 304
2000 99 11170 304
2000 16164 3197 304
2000 1586 13308 304
2000 18462 3491 303
2000 4681 14446 303
2000 14804 19268 303
2000 16538 2805 303
2000 1905 1113 303
2000 10326 4846 303
2000 17473 19845 303
2000 5163 8783 303
2000 1998 648 302
2000 16125 3276 302
2000 1793 1407 302
2000 1797 1407 302
2000 19401 7803 302
2000 19400 7802 302
2000 19001 7804 302
2000 18992 7793 302
2000 18391 3400 300
2000 1802 206 300
2000 2003 1198 300
2000 18396 3206 300
