2 1000 2000
1000 7451 3943 1095
1000 4137 7945 1075
1000 8237 1285 1074
1000 1423 8381 1059
1000 6965 8119 1053
1000 4924 2634 1040
1000 1748 1766 1015
1000 1310 4317 1015
1000 3744 125 1007
1000 8875 6249 1007
2000 9075 5603 274
2000 2416 1593 270
2000 6671 4128 267
2000 5521 2215 263
2000 2058 4303 261
2000 4129 8750 260
2000 1990 7895 248
2000 8363 481 247
2000 4885 7723 242
2000 7420 7518 241
2000 6781 8895 241
2000 4176 2607 241
2000 4301 3150 240
2000 651 8467 240
2000 7487 4804 238
2000 4926 1890 237
2000 8013 2059 237
2000 1018 3605 236
2000 1816 4836 234
2000 3009 126 234
2000 7535 1665 233
2000 8601 2025 232
2000 7221 3155 230
2000 1564 7577 228
2000 1265 1178 227
2000 3313 7728 227
2000 8909 782 223
2000 7909 3218 223
2000 5024 3423 222
2000 3758 7195 222
2000 2245 8377 220
2000 3620 8623 220
2000 4380 7124 219
2000 4880 8372 218
2000 8121 4502 218
2000 8247 3623 217
2000 4502 254 217
2000 2000 8997 215
2000 875 9004 214
2000 2370 2245 212
2000 1871 3748 212
2000 743 7870 212
2000 7877 498 212
2000 6625 3624 211
2000 9000 1626 211
2000 3243 748 211
2000 752 4869 210
2000 1247 5129 207
2000 5753 2744 207
2000 4250 746 205
2000 496 4380 203
2000 6873 4630 201
2000 626 3877 200
2000 7375 1247 200
2000 5496 3254 199
2000 4380 2002 199
2000 8378 5621 199
2000 6123 8251 198
2000 6373 7496 198
2000 9380 6877 197
2000 8253 6751 197
2000 7374 8876 196
2000 9622 6498 194
2000 1371 2501 193
2000 9619 6000 193
2000 1378 9252 190
2000 8124 6005 190
2000 1998 1001 190
2000 999 2123 188
2000 6373 8745 187
2000 6994 7255 186
2000 7753 8500 182
2000 1494 3500 179
2000 999 1497 179
2000 8621 7001 177
2000 8373 3999 173
2000 7754 7872 172
2000 6129 7869 171
2000 1123 7628 170
2000 1996 2505 167
2000 7504 750 165
2000 3254 8124 161
2000 9119 1253 156
2000 8128 6381 154
2000 3873 879 153
2000 9002 7000 153
2000 4744 7243 150
2000 1619 1001 149
2000 6869 3374 132
2000 2375 1120 115
