2 1000 2000
1000 4110 1346 1093
1000 8845 1594 1090
1000 1998 8732 1087
1000 8417 8395 1070
1000 5405 9972 1069
1000 465 5933 1063
1000 9976 4472 1057
1000 5791 5172 1055
1000 1422 2128 1043
1000 6661 249 1022
2000 6110 4577 400
2000 979 5531 399
2000 2071 8070 399
2000 4552 1822 394
2000 7114 679 388
2000 6061 9809 384
2000 1886 2521 384
2000 9747 5082 381
2000 8226 7732 378
2000 8505 2228 378
2000 5168 5325 370
2000 3549 1696 368
2000 9948 3798 365
2000 6051 557 350
2000 4532 738 348
2000 3710 1973 347
2000 1108 6169 343
2000 8450 9107 335
2000 9481 2013 332
2000 7934 7852 329
2000 9632 3888 326
2000 3679 1940 323
2000 8104 1736 322
2000 9396 1139 320
2000 8220 2010 312
2000 4804 1646 308
2000 8078 1480 297
2000 5985 272 297
2000 4848 1559 285
2000 9553 3857 281
2000 8779 9075 281
2000 3320 1565 280
2000 5635 5932 279
2000 6254 4562 272
2000 6073 703 267
2000 1684 1440 264
2000 8020 1735 253
2000 1022 2816 252
2000 1380 1345 248
2000 8005 1481 247
2000 5955 4385 247
2000 6607 5172 245
2000 1531 2915 245
2000 8478 9229 239
2000 2170 1919 239
2000 6697 1001 239
2000 4471 2099 237
2000 4797 1798 234
2000 5148 4682 234
2000 5920 4362 229
2000 607 2114 229
2000 1063 1428 228
2000 3265 1181 227
2000 9180 8117 223
2000 7697 8792 223
2000 8362 2279 223
2000 872 2742 223
2000 9250 8222 220
2000 4175 2192 219
2000 629 1881 215
2000 3253 1163 212
2000 5900 484 210
2000 9627 1948 207
2000 7770 8964 201
2000 1173 2908 200
2000 601 2253 198
2000 9018 7772 196
2000 6442 4613 195
2000 588 2298 190
2000 367 6799 190
2000 9115 8933 185
2000 1139 1318 183
2000 9267 8130 175
2000 8415 7498 173
2000 1067 2923 168
2000 8916 2498 167
2000 6149 928 161
2000 4058 2277 158
2000 147 5085 154
2000 9720 1927 150
2000 1376 5999 148
2000 8620 7505 148
2000 4801 1997 145
2000 8687 7508 143
2000 6584 1126 142
2000 7534 8112 140
2000 5001 1002 139
2000 4995 1000 138
2000 504 5005 129
2000 370 5000 125
2000 8878 624 119
2000 375 6873 118
2000 627 5003 116
2000 627 5003 116
2000 9119 4876 115
2000 7498 8127 114
2000 1752 1255 106
2000 1754 1253 106
2000 1753 1246 106
2000 243 5001 104
