2 1000 2000
1000 2525 4057 1085
1000 5858 2864 1078
1000 814 9619 1049
1000 5971 5743 1047
1000 2548 1370 1041
1000 8705 1798 1038
1000 3 195 1021
1000 8650 7815 1020
1000 4070 7441 1012
1000 279 5962 1010
2000 6000 9776 397
2000 4568 3553 396
2000 3540 8741 392
2000 1821 2838 388
2000 2951 3 386
2000 7454 2402 362
2000 1473 8383 361
2000 5401 7702 359
2000 4632 5329 359
2000 7951 8995 352
2000 1583 5132 348
2000 5729 4243 340
2000 1132 4301 330
2000 4687 6167 329
2000 4606 5675 322
2000 4980 1786 311
2000 875 7121 308
2000 2119 5373 304
2000 1249 1622 303
2000 1875 2494 303
2000 5378 7378 302
2000 751 4752 302
2000 1502 5495 300
2000 5501 7004 299
2000 120 7253 294
2000 1999 8999 292
2000 3869 1247 292
2000 3870 1500 292
2000 5255 6873 291
2000 2121 9869 286
2000 4744 6368 284
2000 3255 250 280
2000 5247 6998 280
2000 1874 5249 279
2000 6623 1745 279
2000 1255 4497 276
2000 7369 8001 274
2000 1255 8371 274
2000 1377 4749 270
2000 1248 3624 265
2000 3370 2380 264
2000 2871 7873 263
2000 5125 6749 263
2000 2999 8119 262
2000 7370 7752 262
2000 3745 877 260
2000 1497 5621 259
2000 3372 8505 256
2000 619 4750 256
2000 998 6994 254
2000 3380 381 252
2000 4877 6504 251
2000 744 7121 250
2000 3505 494 249
2000 5002 6624 245
2000 1373 5378 241
2000 8254 6628 240
2000 1752 5121 237
2000 3119 8255 234
2000 874 4874 231
2000 2872 7750 225
2000 1504 3244 225
2000 1496 3247 223
2000 3750 1751 221
2000 3756 997 217
2000 2375 118 216
2000 130 4749 212
2000 625 7126 206
2000 8376 6622 204
2000 5005 6504 201
2000 3003 7999 198
2000 5254 6749 198
2000 3744 1629 189
2000 3754 1621 188
2000 5124 6630 187
2000 5129 7993 182
2000 4622 2626 179
2000 6630 1874 179
2000 7621 1255 178
2000 7496 8119 173
2000 1255 6620 167
2000 370 7129 160
2000 3130 8126 157
2000 245 7119 151
2000 3621 1874 150
2000 3625 1880 150
2000 1745 8880 147
2000 7876 2620 136
2000 7879 2631 135
2000 2002 9625 135
2000 7505 7873 134
2000 7750 1126 131
2000 1622 3254 128
2000 7995 6871 126
2000 7003 2494 122
2000 6997 2500 122
2000 2253 255 120
2000 7871 996 114
2000 6254 1751 103
2000 3505 2001 100
