2 1000 2000
1000 2537 1726 246
2000 8253 6636 212
1000 7504 1796 285
1000 3358 6855 218
2000 896 4505 217
1000 9900 9463 284
1000 5055 4144 202
2000 5695 9396 287
1000 2987 9202 259
2000 7697 4352 249
1000 865 7134 209
2000 5715 6619 228
1000 263 2086 262
1000 4874 1741 211
2000 2881 3735 259
2000 7551 8752 283
1000 9231 3626 204
2000 4494 8022 287
2000 2032 5729 276
2000 8928 1030 204
1000 6465 3334 255
2000 4337 308 210
1000 3734 5241 289
2000 9589 5668 237
2000 1202 609 248
2000 1568 8596 273
2000 1512 2949 203
2000 7149 286 292
1000 9176 8028 256
2000 6732 5586 203
2000 6246 1619 278
2000 3986 2838 200
1000 6382 7896 293
2000 8436 2587 274
2000 8572 9359 225
1000 3187 575 237
1000 4729 5950 282
2000 2229 7462 268
2000 5455 2789 257
1000 5654 5213 266
1000 7099 6664 228
2000 9621 6867 257
2000 3249 8109 286
1000 8811 4669 214
2000 5428 754 209
1000 496 3433 226
1000 8011 5474 263
2000 8127 7703 213
2000 1334 1753 247
1000 834 5738 232
1000 100 632 218
1000 3711 1613 202
2000 6583 4426 264
1000 2146 4465 220
2000 4393 6976 256
1000 444 8004 283
1000 4181 9073 267
1000 2240 253 261
2000 2851 2710 257
2000 4143 4093 231
1000 7857 3339 248
1000 8148 275 284
1000 1281 9598 226
2000 5431 7599 296
1000 9743 4632 236
1000 9195 163 282
1000 1817 6614 244
2000 9287 8904 249
1000 2976 5958 275
1000 6656 8747 227
2000 9143 1876 249
2000 6166 291 268
2000 5254 8533 224
1000 7311 2771 261
1000 9691 2852 283
2000 8884 7269 272
1000 3938 6277 211
2000 7227 7716 254
2000 1989 1062 296
1000 3002 4591 279
2000 2390 8295 245
2000 4645 3393 251
1000 757 8837 225
2000 6322 2500 272
2000 4771 4956 222
1000 7938 1080 205
2000 1457 3803 243
1000 6758 949 210
2000 1394 7695 245
1000 2070 9327 222
1000 5757 3715 238
1000 8989 6262 232
1000 4851 9508 297
1000 576 1346 243
1000 6446 7068 221
2000 2206 3353 258
1000 1490 5112 222
1000 808 2664 287
1000 386 6477 246
2000 8526 3869 244
2000 3739 9771 272
1000 3163 2067 267
1000 8327 8499 289
2000 7484 9523 277
1000 2032 2433 278
1000 6662 9598 231
1000 2486 5136 265
2000 7163 3732 275
1000 7229 4891 286
1000 3698 3507 258
1000 9676 1285 205
2000 3622 7513 232
2000 2560 6650 216
2000 4426 1140 297
2000 4537 2358 252
1000 6003 5850 216
1000 8397 1812 212
1000 332 5195 252
2000 9842 3957 295
2000 7658 6113 280
1000 5078 6722 246
2000 5824 4478 241
2000 5608 1926 249
2000 6851 1903 236
1000 1085 6481 298
2000 9766 8396 217
1000 3465 8727 239
2000 8698 5324 279
